date,region,store_id,product_id,product_name,category,unit_price,units_sold,revenue,cost,profit,sales_rep_id
2025-01-04,Port Harcourt,S007,P0025,Product 25,Electronics,280.03,42,11761.26,8971.01,2790.25,R17
2025-01-04,Kano,S010,P0010,Product 10,Health & Beauty,117.11,39,4567.29,2856.7,1710.59,R20
2025-01-04,Lagos,S005,P0032,Product 32,Home & Garden,420.27,18,7564.86,4707.58,2857.28,R18
2025-01-04,Lagos,S002,P0007,Product 7,Fashion,171.57,38,6519.66,4438.87,2080.79,R04
2025-01-04,Kano,S009,P0096,Product 96,Fashion,306.47,23,7048.81,5818.79,1230.02,R12
2025-01-04,Ibadan,S007,P0010,Product 10,Health & Beauty,87.2,8,697.6,414.78,282.82,R03
2025-01-04,Lagos,S013,P0085,Product 85,Electronics,91.98,29,2667.42,1619.86,1047.56,R03
2025-01-04,Port Harcourt,S002,P0038,Product 38,Health & Beauty,311.06,47,14619.82,7853.83,6765.99,R05
2025-01-05,Ibadan,S012,P0043,Product 43,Home & Garden,294.53,29,8541.37,6553.53,1987.84,R10
2025-01-05,Lagos,S005,P0066,Product 66,Home & Garden,403.35,25,10083.75,7912.59,2171.16,R01
2025-01-05,Lagos,S002,P0043,Product 43,Home & Garden,209.59,3,628.77,524.38,104.39,R13
2025-01-05,Kano,S006,P0097,Product 97,Health & Beauty,101.41,9,912.69,546.21,366.48,R15
2025-01-05,Lagos,S002,P0050,Product 50,Home & Garden,364.55,16,5832.8,4412.46,1420.34,R16
2025-01-05,Abuja,S005,P0024,Product 24,Electronics,22.73,17,386.41,198.43,187.98,R13
2025-01-05,Kano,S001,P0029,Product 29,Home & Garden,445.36,41,18259.76,12276.12,5983.64,R15
2025-01-05,Ibadan,S015,P0015,Product 15,Home & Garden,393.94,12,4727.28,3041.64,1685.64,R04
2025-01-06,Abuja,S005,P0008,Product 8,Fashion,281.01,27,7587.27,4173.9,3413.37,R03
2025-01-06,Ibadan,S002,P0088,Product 88,Electronics,310.92,26,8083.92,4547.89,3536.03,R03
2025-01-06,Port Harcourt,S012,P0053,Product 53,Home & Garden,242.97,44,10690.68,8905.55,1785.13,R12
2025-01-06,Port Harcourt,S008,P0008,Product 8,Fashion,125.02,14,1750.28,1381.28,369.0,R15
2025-01-06,Abuja,S007,P0071,Product 71,Electronics,346.88,18,6243.84,3592.42,2651.42,R19
2025-01-06,Ibadan,S009,P0054,Product 54,Health & Beauty,449.22,47,21113.34,15417.37,5695.97,R02
2025-01-06,Port Harcourt,S015,P0035,Product 35,Fashion,306.53,2,613.06,459.99,153.07,R18
2025-01-06,Abuja,S007,P0077,Product 77,Electronics,329.65,23,7581.95,4682.62,2899.33,R06
2025-01-07,Port Harcourt,S009,P0016,Product 16,Groceries,452.05,12,5424.6,3360.22,2064.38,R05
2025-01-07,Abuja,S009,P0022,Product 22,Health & Beauty,171.15,41,7017.15,4302.08,2715.07,R01
2025-01-07,Port Harcourt,S006,P0063,Product 63,Health & Beauty,466.46,15,6996.9,4584.45,2412.45,R16
2025-01-07,Ibadan,S010,P0034,Product 34,Electronics,315.41,14,4415.74,3427.12,988.62,R15
2025-01-08,Port Harcourt,S011,P0014,Product 14,Groceries,197.11,32,6307.52,4352.33,1955.19,R05
2025-01-08,Abuja,S011,P0048,Product 48,Health & Beauty,476.83,49,23364.67,18533.51,4831.16,R15
2025-01-08,Kano,S006,P0010,Product 10,Health & Beauty,45.54,27,1229.58,690.27,539.31,R06
2025-01-08,Lagos,S014,P0025,Product 25,Electronics,192.9,19,3665.1,1974.45,1690.65,R20
2025-01-08,Ibadan,S013,P0065,Product 65,Groceries,309.86,24,7436.64,4439.98,2996.66,R18
2025-01-08,Ibadan,S003,P0036,Product 36,Health & Beauty,442.34,12,5308.08,3483.09,1824.99,R07
2025-01-08,Abuja,S013,P0065,Product 65,Groceries,285.25,41,11695.25,9774.72,1920.53,R17
2025-01-08,Kano,S012,P0095,Product 95,Electronics,248.96,35,8713.6,7053.29,1660.31,R12
2025-01-08,Port Harcourt,S014,P0049,Product 49,Groceries,434.18,33,14327.94,9100.49,5227.45,R15
2025-01-08,Ibadan,S007,P0072,Product 72,Health & Beauty,103.19,31,3198.89,2020.31,1178.58,R07
2025-01-08,Kano,S001,P0095,Product 95,Electronics,141.4,5,707.0,585.2,121.8,R13
2025-01-09,Port Harcourt,S010,P0083,Product 83,Health & Beauty,121.78,37,4505.86,2289.04,2216.82,R06
2025-01-09,Kano,S006,P0006,Product 6,Groceries,224.8,31,6968.8,5236.62,1732.18,R13
2025-01-09,Ibadan,S015,P0076,Product 76,Groceries,363.96,44,16014.24,10491.4,5522.84,R10
2025-01-09,Ibadan,S002,P0089,Product 89,Home & Garden,350.06,21,7351.26,5944.25,1407.01,R20
2025-01-09,Port Harcourt,S008,P0074,Product 74,Groceries,444.42,6,2666.52,1819.75,846.77,R04
2025-01-09,Kano,S008,P0049,Product 49,Groceries,191.35,49,9376.15,7467.39,1908.76,R07
2025-01-09,Kano,S011,P0094,Product 94,Fashion,24.71,26,642.46,368.43,274.03,R15
2025-01-09,Ibadan,S012,P0096,Product 96,Fashion,212.91,33,7026.03,5560.5,1465.53,R20
2025-01-10,Abuja,S011,P0097,Product 97,Health & Beauty,97.59,15,1463.85,1154.49,309.36,R10
2025-01-10,Ibadan,S008,P0046,Product 46,Electronics,185.8,44,8175.2,4205.63,3969.57,R20
2025-01-10,Ibadan,S012,P0011,Product 11,Home & Garden,250.18,19,4753.42,3006.59,1746.83,R04
2025-01-10,Abuja,S005,P0030,Product 30,Home & Garden,361.32,47,16982.04,10839.03,6143.01,R08
2025-01-10,Ibadan,S015,P0031,Product 31,Fashion,241.84,29,7013.36,5884.06,1129.3,R17
2025-01-10,Lagos,S008,P0069,Product 69,Home & Garden,21.26,21,446.46,246.96,199.5,R15
2025-01-11,Ibadan,S015,P0047,Product 47,Groceries,373.31,22,8212.82,4148.96,4063.86,R10
2025-01-11,Ibadan,S009,P0013,Product 13,Health & Beauty,442.23,48,21227.04,16070.72,5156.32,R19
2025-01-11,Abuja,S011,P0022,Product 22,Health & Beauty,160.39,33,5292.87,3820.34,1472.53,R14
2025-01-11,Port Harcourt,S003,P0040,Product 40,Groceries,46.45,28,1300.6,1051.47,249.13,R16
2025-01-11,Ibadan,S003,P0050,Product 50,Home & Garden,422.17,31,13087.27,7451.25,5636.02,R15
2025-01-11,Ibadan,S001,P0041,Product 41,Home & Garden,279.49,29,8105.21,6220.94,1884.27,R04
2025-01-11,Lagos,S010,P0036,Product 36,Health & Beauty,151.82,46,6983.72,3855.15,3128.57,R08
2025-01-11,Abuja,S007,P0075,Product 75,Health & Beauty,25.08,30,752.4,511.85,240.55,R11
2025-01-11,Ibadan,S008,P0025,Product 25,Electronics,164.64,49,8067.36,4854.53,3212.83,R03
2025-01-11,Port Harcourt,S006,P0087,Product 87,Electronics,437.74,15,6566.1,4410.49,2155.61,R02
2025-01-12,Abuja,S015,P0014,Product 14,Groceries,165.18,30,4955.4,3316.47,1638.93,R03
2025-01-12,Ibadan,S014,P0042,Product 42,Electronics,139.1,46,6398.6,5378.14,1020.46,R20
2025-01-12,Port Harcourt,S008,P0035,Product 35,Fashion,443.46,37,16408.02,12674.66,3733.36,R12
2025-01-12,Lagos,S006,P0090,Product 90,Fashion,321.64,15,4824.6,2466.03,2358.57,R01
2025-01-12,Ibadan,S011,P0035,Product 35,Fashion,353.1,3,1059.3,630.01,429.29,R09
2025-01-13,Kano,S011,P0054,Product 54,Health & Beauty,66.64,15,999.6,769.21,230.39,R20
2025-01-13,Kano,S010,P0072,Product 72,Health & Beauty,372.87,33,12304.71,9852.73,2451.98,R16
2025-01-13,Lagos,S006,P0026,Product 26,Fashion,332.98,43,14318.14,9643.0,4675.14,R04
2025-01-13,Ibadan,S003,P0055,Product 55,Fashion,428.95,10,4289.5,2858.13,1431.37,R12
2025-01-13,Kano,S012,P0014,Product 14,Groceries,162.06,32,5185.92,4392.01,793.91,R05
2025-01-13,Abuja,S015,P0042,Product 42,Electronics,12.94,10,129.4,70.31,59.09,R02
2025-01-13,Lagos,S009,P0094,Product 94,Fashion,141.74,13,1842.62,1444.42,398.2,R08
2025-01-14,Kano,S014,P0034,Product 34,Electronics,343.45,45,15455.25,11724.75,3730.5,R01
2025-01-14,Kano,S011,P0032,Product 32,Home & Garden,83.95,31,2602.45,1564.79,1037.66,R14
2025-01-14,Lagos,S008,P0006,Product 6,Groceries,112.55,2,225.1,150.37,74.73,R01
2025-01-14,Port Harcourt,S013,P0087,Product 87,Electronics,377.82,23,8689.86,6578.34,2111.52,R16
2025-01-14,Ibadan,S001,P0014,Product 14,Groceries,195.43,28,5472.04,3466.37,2005.67,R03
2025-01-14,Abuja,S006,P0015,Product 15,Home & Garden,144.55,1,144.55,77.11,67.44,R02
2025-01-14,Lagos,S012,P0003,Product 3,Fashion,230.02,20,4600.4,3160.72,1439.68,R14
2025-01-14,Port Harcourt,S011,P0039,Product 39,Electronics,334.34,43,14376.62,7709.96,6666.66,R08
2025-01-15,Abuja,S001,P0027,Product 27,Fashion,386.8,12,4641.6,3669.5,972.1,R08
2025-01-15,Lagos,S008,P0052,Product 52,Home & Garden,131.69,26,3423.94,2148.61,1275.33,R17
2025-01-15,Lagos,S010,P0035,Product 35,Fashion,222.06,32,7105.92,3682.2,3423.72,R06
2025-01-15,Port Harcourt,S009,P0040,Product 40,Groceries,358.66,5,1793.3,1025.42,767.88,R18
2025-01-16,Ibadan,S003,P0066,Product 66,Home & Garden,321.79,32,10297.28,5794.7,4502.58,R15
2025-01-16,Lagos,S002,P0090,Product 90,Fashion,254.3,44,11189.2,7074.21,4114.99,R11
2025-01-16,Ibadan,S004,P0100,Product 100,Electronics,228.75,33,7548.75,5049.17,2499.58,R03
2025-01-16,Kano,S007,P0023,Product 23,Home & Garden,430.83,4,1723.32,1258.68,464.64,R01
2025-01-16,Ibadan,S003,P0086,Product 86,Electronics,16.56,17,281.52,152.69,128.83,R03
2025-01-17,Lagos,S010,P0042,Product 42,Electronics,432.54,3,1297.62,1049.52,248.1,R01
2025-01-17,Lagos,S001,P0030,Product 30,Home & Garden,381.33,32,12202.56,6115.3,6087.26,R15
2025-01-17,Kano,S011,P0023,Product 23,Home & Garden,156.39,3,469.17,368.1,101.07,R17
2025-01-17,Abuja,S011,P0078,Product 78,Home & Garden,375.71,31,11647.01,7216.06,4430.95,R17
2025-01-17,Port Harcourt,S005,P0099,Product 99,Groceries,62.36,29,1808.44,1009.17,799.27,R17
2025-01-17,Lagos,S014,P0029,Product 29,Home & Garden,183.34,31,5683.54,3487.21,2196.33,R08
2025-01-17,Ibadan,S006,P0071,Product 71,Electronics,67.75,41,2777.75,1817.32,960.43,R10
2025-01-17,Port Harcourt,S002,P0043,Product 43,Home & Garden,221.25,4,885.0,471.94,413.06,R20
2025-01-17,Kano,S010,P0030,Product 30,Home & Garden,150.08,40,6003.2,3729.76,2273.44,R16
2025-01-18,Kano,S014,P0023,Product 23,Home & Garden,427.53,36,15391.08,9211.69,6179.39,R01
2025-01-18,Lagos,S004,P0018,Product 18,Health & Beauty,38.54,35,1348.9,1032.45,316.45,R10
2025-01-18,Ibadan,S001,P0015,Product 15,Home & Garden,482.5,33,15922.5,8325.8,7596.7,R18
2025-01-18,Kano,S007,P0007,Product 7,Fashion,389.51,37,14411.87,10195.64,4216.23,R08
2025-01-18,Lagos,S003,P0034,Product 34,Electronics,91.56,32,2929.92,2396.82,533.1,R16
2025-01-18,Ibadan,S005,P0092,Product 92,Electronics,296.12,28,8291.36,5809.25,2482.11,R12
2025-01-18,Ibadan,S013,P0078,Product 78,Home & Garden,444.39,26,11554.14,7979.29,3574.85,R05
2025-01-19,Ibadan,S004,P0061,Product 61,Groceries,250.46,9,2254.14,1790.7,463.44,R09
2025-01-19,Ibadan,S001,P0056,Product 56,Electronics,390.79,15,5861.85,4113.79,1748.06,R17
2025-01-19,Port Harcourt,S015,P0077,Product 77,Electronics,464.47,8,3715.76,2741.09,974.67,R02
2025-01-19,Kano,S001,P0021,Product 21,Groceries,112.32,15,1684.8,1110.43,574.37,R03
2025-01-19,Ibadan,S009,P0073,Product 73,Health & Beauty,489.49,48,23495.52,18313.8,5181.72,R11
2025-01-19,Kano,S015,P0018,Product 18,Health & Beauty,36.81,13,478.53,331.23,147.3,R13
2025-01-20,Port Harcourt,S006,P0080,Product 80,Home & Garden,429.31,6,2575.86,1685.13,890.73,R01
2025-01-20,Lagos,S012,P0053,Product 53,Home & Garden,71.42,43,3071.06,1776.06,1295.0,R06
2025-01-20,Kano,S014,P0049,Product 49,Groceries,67.41,8,539.28,371.89,167.39,R05
2025-01-20,Ibadan,S013,P0030,Product 30,Home & Garden,121.43,35,4250.05,2177.56,2072.49,R12
2025-01-20,Port Harcourt,S011,P0064,Product 64,Groceries,92.4,14,1293.6,859.65,433.95,R02
2025-01-20,Kano,S001,P0025,Product 25,Electronics,453.6,10,4536.0,2699.75,1836.25,R10
2025-01-20,Abuja,S003,P0075,Product 75,Health & Beauty,75.0,22,1650.0,860.5,789.5,R10
2025-01-20,Kano,S005,P0016,Product 16,Groceries,492.28,2,984.56,612.78,371.78,R08
2025-01-20,Kano,S012,P0028,Product 28,Groceries,64.4,40,2576.0,1796.81,779.19,R11
2025-01-20,Kano,S003,P0059,Product 59,Home & Garden,469.39,8,3755.12,2540.44,1214.68,R18
2025-01-20,Kano,S001,P0017,Product 17,Home & Garden,181.22,43,7792.46,4592.03,3200.43,R11
2025-01-21,Kano,S008,P0075,Product 75,Health & Beauty,351.11,25,8777.75,5472.75,3305.0,R07
2025-01-21,Kano,S005,P0096,Product 96,Fashion,465.46,42,19549.32,15161.43,4387.89,R20
2025-01-21,Lagos,S003,P0021,Product 21,Groceries,332.0,23,7636.0,4173.07,3462.93,R06
2025-01-21,Kano,S012,P0065,Product 65,Groceries,269.78,13,3507.14,2047.51,1459.63,R18
2025-01-21,Kano,S004,P0074,Product 74,Groceries,73.18,23,1683.14,1007.39,675.75,R09
2025-01-21,Port Harcourt,S003,P0081,Product 81,Health & Beauty,92.28,10,922.8,472.92,449.88,R04
2025-01-21,Lagos,S001,P0059,Product 59,Home & Garden,166.14,18,2990.52,2177.36,813.16,R03
2025-01-21,Lagos,S002,P0040,Product 40,Groceries,376.35,24,9032.4,6996.71,2035.69,R07
2025-01-21,Kano,S001,P0032,Product 32,Home & Garden,58.29,38,2215.02,1235.34,979.68,R04
2025-01-21,Kano,S007,P0070,Product 70,Home & Garden,442.97,12,5315.64,3658.61,1657.03,R14
2025-01-22,Kano,S010,P0099,Product 99,Groceries,20.98,41,860.18,546.47,313.71,R01
2025-01-22,Ibadan,S002,P0024,Product 24,Electronics,39.96,48,1918.08,1137.99,780.09,R13
2025-01-22,Ibadan,S005,P0056,Product 56,Electronics,33.82,36,1217.52,652.77,564.75,R02
2025-01-22,Ibadan,S011,P0040,Product 40,Groceries,410.18,27,11074.86,7208.77,3866.09,R12
2025-01-22,Kano,S012,P0010,Product 10,Health & Beauty,378.79,34,12878.86,9924.95,2953.91,R01
2025-01-22,Port Harcourt,S013,P0028,Product 28,Groceries,451.76,20,9035.2,7131.12,1904.08,R13
2025-01-22,Kano,S014,P0091,Product 91,Fashion,438.62,8,3508.96,2283.12,1225.84,R19
2025-01-22,Port Harcourt,S011,P0030,Product 30,Home & Garden,335.34,34,11401.56,6999.27,4402.29,R04
2025-01-22,Lagos,S005,P0094,Product 94,Fashion,324.63,37,12011.31,6593.15,5418.16,R07
2025-01-22,Abuja,S008,P0054,Product 54,Health & Beauty,169.47,15,2542.05,1920.25,621.8,R04
2025-01-22,Kano,S010,P0088,Product 88,Electronics,370.1,47,17394.7,14118.31,3276.39,R12
2025-01-22,Kano,S011,P0064,Product 64,Groceries,81.9,43,3521.7,2646.96,874.74,R11
2025-01-23,Port Harcourt,S011,P0044,Product 44,Groceries,80.93,32,2589.76,1567.01,1022.75,R05
2025-01-23,Kano,S007,P0062,Product 62,Home & Garden,178.17,38,6770.46,3597.09,3173.37,R13
2025-01-23,Ibadan,S001,P0046,Product 46,Electronics,27.42,5,137.1,82.33,54.77,R08
2025-01-23,Abuja,S005,P0044,Product 44,Groceries,143.61,14,2010.54,1267.56,742.98,R07
2025-01-23,Ibadan,S010,P0096,Product 96,Fashion,390.13,33,12874.29,7172.37,5701.92,R04
2025-01-23,Port Harcourt,S011,P0060,Product 60,Groceries,281.44,35,9850.4,5636.42,4213.98,R10
2025-01-23,Kano,S002,P0100,Product 100,Electronics,223.38,47,10498.86,6801.28,3697.58,R18
2025-01-23,Lagos,S010,P0023,Product 23,Home & Garden,340.28,48,16333.44,12331.36,4002.08,R12
2025-01-23,Kano,S008,P0054,Product 54,Health & Beauty,127.22,30,3816.6,2440.93,1375.67,R16
2025-01-23,Lagos,S001,P0085,Product 85,Electronics,278.62,34,9473.08,6772.87,2700.21,R16
2025-01-24,Lagos,S014,P0087,Product 87,Electronics,293.31,10,2933.1,2194.86,738.24,R08
2025-01-24,Port Harcourt,S013,P0007,Product 7,Fashion,109.01,7,763.07,410.95,352.12,R14
2025-01-24,Port Harcourt,S010,P0010,Product 10,Health & Beauty,346.44,36,12471.84,7602.16,4869.68,R20
2025-01-24,Ibadan,S008,P0055,Product 55,Fashion,43.45,35,1520.75,761.35,759.4,R02
2025-01-24,Ibadan,S006,P0003,Product 3,Fashion,319.06,9,2871.54,1711.05,1160.49,R15
2025-01-24,Lagos,S003,P0086,Product 86,Electronics,348.11,34,11835.74,7374.42,4461.32,R11
2025-01-24,Lagos,S006,P0047,Product 47,Groceries,85.36,31,2646.16,1378.58,1267.58,R02
2025-01-24,Kano,S001,P0027,Product 27,Fashion,329.92,47,15506.24,12718.9,2787.34,R05
2025-01-24,Kano,S005,P0039,Product 39,Electronics,153.84,21,3230.64,1943.33,1287.31,R13
2025-01-24,Ibadan,S011,P0016,Product 16,Groceries,135.69,20,2713.8,1419.97,1293.83,R16
2025-01-25,Ibadan,S001,P0088,Product 88,Electronics,343.38,4,1373.52,794.06,579.46,R07
2025-01-25,Lagos,S010,P0056,Product 56,Electronics,178.86,38,6796.68,4379.67,2417.01,R09
2025-01-25,Port Harcourt,S002,P0034,Product 34,Electronics,498.45,40,19938.0,12945.96,6992.04,R18
2025-01-25,Kano,S010,P0004,Product 4,Health & Beauty,309.74,45,13938.3,7561.53,6376.77,R06
2025-01-25,Ibadan,S015,P0077,Product 77,Electronics,318.71,39,12429.69,9410.72,3018.97,R08
2025-01-25,Lagos,S007,P0032,Product 32,Home & Garden,357.43,8,2859.44,1977.62,881.82,R18
2025-01-25,Kano,S005,P0062,Product 62,Home & Garden,248.55,47,11681.85,6162.95,5518.9,R09
2025-01-25,Port Harcourt,S012,P0087,Product 87,Electronics,143.11,21,3005.31,1851.13,1154.18,R02
2025-01-25,Ibadan,S014,P0041,Product 41,Home & Garden,141.57,11,1557.27,1215.05,342.22,R18
2025-01-26,Kano,S009,P0069,Product 69,Home & Garden,33.33,11,366.63,200.13,166.5,R03
2025-01-26,Port Harcourt,S015,P0003,Product 3,Fashion,442.92,13,5757.96,3493.11,2264.85,R19
2025-01-26,Lagos,S009,P0071,Product 71,Electronics,308.91,37,11429.67,9304.91,2124.76,R07
2025-01-26,Lagos,S006,P0066,Product 66,Home & Garden,11.32,48,543.36,373.18,170.18,R09
2025-01-26,Lagos,S004,P0099,Product 99,Groceries,306.25,45,13781.25,8932.09,4849.16,R14
2025-01-26,Port Harcourt,S014,P0001,Product 1,Home & Garden,453.72,2,907.44,765.05,142.39,R10
2025-01-26,Kano,S009,P0033,Product 33,Home & Garden,189.8,41,7781.8,4778.61,3003.19,R08
2025-01-26,Kano,S004,P0059,Product 59,Home & Garden,339.31,42,14251.02,10587.58,3663.44,R19
2025-01-26,Lagos,S013,P0013,Product 13,Health & Beauty,181.27,32,5800.64,3761.37,2039.27,R08
2025-01-27,Lagos,S006,P0003,Product 3,Fashion,308.66,31,9568.46,7290.91,2277.55,R03
2025-01-27,Kano,S005,P0083,Product 83,Health & Beauty,419.1,19,7962.9,4164.58,3798.32,R14
2025-01-27,Port Harcourt,S002,P0063,Product 63,Health & Beauty,208.04,37,7697.48,5099.31,2598.17,R04
2025-01-27,Ibadan,S013,P0041,Product 41,Home & Garden,495.25,8,3962.0,2051.11,1910.89,R04
2025-01-27,Abuja,S005,P0048,Product 48,Health & Beauty,498.73,10,4987.3,4044.54,942.76,R10
2025-01-27,Abuja,S005,P0022,Product 22,Health & Beauty,234.17,49,11474.33,9289.61,2184.72,R01
2025-01-28,Abuja,S002,P0041,Product 41,Home & Garden,388.9,8,3111.2,2462.36,648.84,R08
2025-01-28,Ibadan,S005,P0073,Product 73,Health & Beauty,388.54,48,18649.92,10055.74,8594.18,R16
2025-01-28,Abuja,S007,P0021,Product 21,Groceries,381.21,46,17535.66,9238.19,8297.47,R17
2025-01-28,Kano,S005,P0098,Product 98,Groceries,457.83,44,20144.52,12589.28,7555.24,R17
2025-01-28,Ibadan,S011,P0038,Product 38,Health & Beauty,115.73,18,2083.14,1154.01,929.13,R20
2025-01-28,Port Harcourt,S012,P0042,Product 42,Electronics,248.32,11,2731.52,2235.22,496.3,R17
2025-01-28,Abuja,S014,P0096,Product 96,Fashion,254.97,44,11218.68,6314.45,4904.23,R10
2025-01-28,Kano,S015,P0015,Product 15,Home & Garden,342.44,24,8218.56,6558.76,1659.8,R16
2025-01-28,Lagos,S001,P0068,Product 68,Groceries,260.62,4,1042.48,806.81,235.67,R13
2025-01-28,Port Harcourt,S005,P0063,Product 63,Health & Beauty,340.58,39,13282.62,9767.19,3515.43,R13
2025-01-28,Lagos,S007,P0016,Product 16,Groceries,247.28,32,7912.96,5487.74,2425.22,R04
2025-01-28,Port Harcourt,S005,P0022,Product 22,Health & Beauty,127.22,23,2926.06,1914.1,1011.96,R10
2025-01-29,Ibadan,S010,P0062,Product 62,Home & Garden,225.66,38,8575.08,6899.86,1675.22,R08
2025-01-29,Abuja,S010,P0013,Product 13,Health & Beauty,407.09,34,13841.06,10118.9,3722.16,R03
2025-01-29,Lagos,S011,P0096,Product 96,Fashion,61.37,11,675.07,417.43,257.64,R17
2025-01-29,Lagos,S002,P0041,Product 41,Home & Garden,15.67,42,658.14,504.03,154.11,R11
2025-01-29,Kano,S012,P0038,Product 38,Health & Beauty,497.8,34,16925.2,10802.91,6122.29,R05
2025-01-29,Abuja,S015,P0023,Product 23,Home & Garden,248.35,45,11175.75,7601.59,3574.16,R10
2025-01-29,Kano,S014,P0051,Product 51,Home & Garden,15.03,30,450.9,255.55,195.35,R14
2025-01-29,Port Harcourt,S003,P0072,Product 72,Health & Beauty,232.9,48,11179.2,8802.19,2377.01,R18
2025-01-30,Kano,S009,P0067,Product 67,Groceries,262.1,10,2621.0,1832.94,788.06,R16
2025-01-30,Port Harcourt,S012,P0047,Product 47,Groceries,67.18,39,2620.02,1699.55,920.47,R12
2025-01-30,Port Harcourt,S008,P0062,Product 62,Home & Garden,451.92,14,6326.88,5267.97,1058.91,R12
2025-01-30,Lagos,S007,P0075,Product 75,Health & Beauty,290.0,4,1160.0,737.7,422.3,R10
2025-01-31,Abuja,S003,P0017,Product 17,Home & Garden,319.6,32,10227.2,6518.76,3708.44,R17
2025-01-31,Kano,S009,P0074,Product 74,Groceries,403.04,17,6851.68,5801.98,1049.7,R07
2025-01-31,Lagos,S003,P0014,Product 14,Groceries,81.19,35,2841.65,2226.36,615.29,R20
2025-01-31,Port Harcourt,S004,P0038,Product 38,Health & Beauty,8.19,11,90.09,60.5,29.59,R18
2025-01-31,Ibadan,S011,P0088,Product 88,Electronics,77.24,10,772.4,622.85,149.55,R07
2025-02-01,Lagos,S008,P0090,Product 90,Fashion,134.53,15,2017.95,1280.74,737.21,R14
2025-02-01,Lagos,S015,P0075,Product 75,Health & Beauty,351.9,18,6334.2,3552.62,2781.58,R13
2025-02-01,Abuja,S004,P0062,Product 62,Home & Garden,493.06,38,18736.28,15713.18,3023.1,R16
2025-02-01,Ibadan,S012,P0058,Product 58,Groceries,477.89,17,8124.13,5935.02,2189.11,R09
2025-02-01,Kano,S003,P0035,Product 35,Fashion,395.71,40,15828.4,8814.44,7013.96,R06
2025-02-01,Lagos,S015,P0017,Product 17,Home & Garden,280.7,4,1122.8,608.06,514.74,R09
2025-02-01,Kano,S011,P0077,Product 77,Electronics,66.37,31,2057.47,1728.28,329.19,R20
2025-02-01,Port Harcourt,S004,P0034,Product 34,Electronics,344.92,40,13796.8,8911.05,4885.75,R02
